ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
1,A Dijiang,M,24,180,80,30. Februar,CHN,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Men's Basketball,NA
6848,Bai Chongguang,M,21,184,83,Australia,CHN,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Light-Heavyweight,NA
6854,Bai Mei,F,17,166,46,Australia,CHN,1992 Summer,1992,Summer,Barcelona,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,NA
11225,Bi Zhong,M,23,188,110,Belgium,CHN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Hammer Throw,NA
17295,Cai Yanshu,M,28,169,79,Canada,CHN,1992 Summer,1992,Summer,Barcelona,Weightlifting,Weightlifting Men's Light-Heavyweight,NA
17996,Cao Mianying,F,25,176,71,Canada,CHN,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Women's Coxless Fours,NA
17996,Cao Mianying,F,25,176,71,Canada,CHN,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Women's Coxed Eights,NA
19813,Chao Lu,M,22,180,75,Canada,CHN,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Middleweight,NA
20155,Chen Biao,M,21,188,80,Canada,CHN,1992 Summer,1992,Summer,Barcelona,Fencing,Fencing Men's Foil, Team,NA
20156,Chen Cailiang,M,22,165,63,Canada,CHN,1992 Summer,1992,Summer,Barcelona,Judo,Judo Men's Extra-Lightweight,NA
